AUTOPILOT,AUTOPILOT,自动巡航,自動巡航,,,オートパイロット,,,
Attract coin within a certain distance.,Attract coin within a certain distance.,吸引一定范围内的金币,吸引一定範圍內的金幣,,,一定の距離内にコインを引き付ける,,,
Slow the time for a period of time.,Slow the time for a period of time.,使时间减速一段时间,使時間減速一段時間,,,一定の時間に時間が遅る,,,
Immune from next hit of an obstacle.,Immune from next hit of an obstacle.,抵挡下一次障碍碰撞,抵擋下一次障礙碰撞,,,次の障害物の衝突を抵抗する,,,
Automatic pilot for a period of time.,Automatic pilot for a period of time.,自动巡航一段时间,自動巡航一段時間,,,一定の時間に自動クルーズ,,,
STACK,STACK,一堆金币,一堆金幣,,,少量のコイン,,,
PILE,PILE,一摞金币,一摞金幣,,,大量のコイン,,,
BAG,BAG,一包金币,一包金幣,,,コインのパック,,,
CRATE,CRATE,一箱金币,一箱金幣,,,コインの箱,,,
CLUSTER,CLUSTER,一簇星星,一簇星星,,,少量の星,,,
BATCH,BATCH,一组星星,一組星星,,,大量の星,,,
POUCH,POUCH,一袋星星,一袋星星,,,星のパック,,,
BASKET,BASKET,一篮星星,一籃星星,,,星の箱,,,
ABOUT,ABOUT,关于,關於,,,情報,,,
LANGUAGE,LANGUAGE,语言,語言,,,言語,,,
SELECT LANGUAGE,SELECT LANGUAGE,选择语言,選擇語言,,,言語選択,,,
RATE US,RATE US,评价我们,評價我們,,,評価する,,,
QUICK START,QUICK START,快速开始,快速開始,,,快速開始,,,
MUSIC,MUSIC,音乐,音樂,,,BGM,,,
CONTROL,CONTROL,控制方式,操縱方法,,,制御方法,,,
SINGLE SIDE,SINGLE SIDE,单边控制,單邊操縱,,,片側制御,,,
BOTH SIDE,BOTH SIDE,双边控制,雙邊操縱,,,両側制御,,,
TILT CONTROL,TILT CONTROL,重力控制,重力操縱,,,傾け制御,,,
ON,ON,开,開,,,開,,,
OFF,OFF,关,關,,,閉,,,
LOGIN,LOGIN,登录,登錄,,,ログイン,,,
LINK,LINK,绑定账号,綁定賬號,,,接続する,,,
LINKED,LINKED,已绑定,已綁定,,,接続済み,,,
CONNECTED,CONNECTED,已绑定,已綁定,,,接続済み,,,
RESTORE,RESTORE,恢复购买,恢復購買,,,復元する,,,
Tap to rename,Tap to rename,触碰以改名,觸碰以改名,,,タップして名前を変更する,,,
Remove Ads to unlock,Remove Ads to unlock,去除广告后解锁,去除廣告后解鎖,,,広告を削除してロック解除する,,,
COMING SOON,COMING SOON,即将到来,即將到來,,,近日公開,,,
PAUSED,PAUSED,暂停,暫停,,,PAUSED,,,
REVIVE,REVIVE,继续挑战?,再試一次?,,,復活する？,,,
TAP ANYWHERE TO SKIP,TAP ANYWHERE TO SKIP,触碰以跳过,觸碰以跳過,,,タップしてスキップする,,,
COLLECT,COLLECT,收集金币,收集金幣,,,集める,,,
FREE,FREE,免费获取,免費獲取,,,無料,,,
DAILY REWARD,DAILY REWARD,每日奖励,每日獎勵,,,毎日報酬,,,
DAY 1,DAY 1,第一天,第一天,,,1日目,,,
DAY 2,DAY 2,第二天,第二天,,,2日目,,,
DAY 3,DAY 3,第三天,第三天,,,3日目,,,
DAY 4,DAY 4,第四天,第四天,,,4日目,,,
DAY 5,DAY 5,第五天,第五天,,,5日目,,,
DAY 6,DAY 6,第六天,第六天,,,6日目,,,
DAY 7,DAY 7,第七天,第七天,,,7日目,,,
DAY 7+,DAY 7+,第七天+,第七天+,,,7日目+,,,
MYSTERY GRAND REWARD,MYSTERY GRAND REWARD,一份神秘大礼,一份神秘大禮,,,神秘のギフト,,,
CLAIM,CLAIM,领取,領取,,,受信,,,
CLOSE,CLOSE,关闭,關閉,,,閉じる,,,
QUEST FINISHED,QUEST FINISHED,已完成任务,已完成任務,,,完了したタスク,,,
HIGH SCORE,HIGH SCORE,最高分,最高分,,,最高得点,,,
TOTAL PLAYED,TOTAL PLAYED,总游戏次数,總遊戲次數,,,総プレー,,,
TIME PLAYED,TIME PLAYED,总游戏时间,總遊戲時間,,,合計時間,,,
Play {0} game,Play {0} game,玩{0}次游戏,玩{0}次遊戲,,,{0}試合をプレイ,,,
Reach {0} score,Reach {0} score,达到{0}分,達到{0}分,,,リーチ4000得点,,,
Leap {0} Gap,Leap {0} Gap,跳过间隙{0}次,跳過間隙{0}次,,,跳躍間隙{0}回,,,
Upgrade a Car Status once,Upgrade a Car once,升级一次载具,升級一次載具,,,乗り物を一度アップグレードする,,,
Upgrade a Car Status to max,Upgrade a Car Status to max,将载具的一项属性升满,將載具的一次屬性升滿,,,乗り物のステータスを一つ最大にアップグレードする,,,
Open {0} Chest,Open {0} Chest,开启{0}个箱子,開啟{0}個箱子,,,{0}つの箱を開く,,,
Upgrade an Item once,Upgrade an Item once,升级一次道具,升級一次道具,,,アイテムを一度アップグレードする,,,
Upgrade an Item to max,Upgrade an Item to max,将一个道具升满,將一個道具升滿,,,アイテムを一つ最大にアップグレードする,,,
Glide {0} time,Glide {0} time,滑翔{0}次,滑翔{0}次,,,グライド{0}回,,,
Crush Cube {0} time,Crush Cube {0} time,撞飞{0}个方块,撞飛{0}個方塊,,,クラッシュキューブ{0}回,,,
